pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
"WASP-130 b","WASP-130",2016,"Transit",9.97601000,390.93090000,"Mass",11.55098000000,833.00,56.3550,0.1012000000,5625.00,0.960000,1.040000,0.2600,2.0000,172.25600000
"WASP-131 b","WASP-131",2016,"Transit",13.74221034,86.76715511,"Mass",5.32201250000,1460.00,995.3724,0.0608000000,5990.00,1.561000,1.060000,-0.2000,7.0000,200.07500000
"WASP-132 b","WASP-132",2016,"Transit",10.09929161,136.03055820,"Mass",7.13351640000,682.00,58.5000,0.0674000000,4686.00,0.758000,0.789000,0.1500,7.2000,122.91000000
"WASP-132 c","WASP-132",2022,"Transit",1.84100000,6.26000000,"Mass",1.01153624000,1329.00,791.0000,0.0183300000,4686.00,0.758000,0.789000,0.1500,7.2000,122.91000000
"WASP-132 d","WASP-132",2024,"Radial Velocity",12.80000000,1639.99458012,"Msini",1816.60000000000,107.00,0.0363,2.7100000000,4686.00,0.758000,0.789000,0.1500,7.2000,122.91000000
"WASP-133 b","WASP-133",2016,"Transit",13.56289000,368.68280000,"Mass",2.17642300000,1790.00,2054.7956,0.0345000000,5700.00,1.440000,1.160000,0.2900,6.8000,559.08400000
"WASP-135 b","WASP-135",2015,"Transit",14.57170000,603.87700000,"Mass",1.40137940000,1403.66,917.4101,0.0243000000,5675.00,0.960000,0.980000,0.0200,0.6000,298.21400000
"WASP-136 b","WASP-136",2016,"Transit",16.81347105,479.92089457,"Mass",5.21536178778,1630.00,1843.4633,0.0661000000,6250.00,2.390140,1.410000,-0.1800,3.6200,275.58700000
"WASP-138 b","WASP-138",2016,"Transit",12.21781000,387.75260000,"Mass",3.63443300000,1590.00,1133.7300,0.0494000000,6272.00,1.360000,1.220000,-0.0900,3.4400,414.23400000
"WASP-139 b","WASP-139",2016,"Transit",8.96720000,37.18611000,"Mass",5.92426200000,910.00,120.7076,0.0620000000,5310.00,0.800000,0.920000,0.2000,0.5000,212.47200000
"WASP-14 b","WASP-14",2008,"Transit",15.46842000,2809.61720000,"Mass",2.24375000000,1872.00,1356.3300,0.0370000000,6475.00,1.400000,1.620000,0.0000,0.7500,161.99700000
"WASP-140 b","WASP-140",2016,"Transit",14.23540549,775.50520000,"Mass",2.23598448000,1270.00,491.3260,0.0323000000,5300.00,0.870000,0.900000,0.1200,0.5000,117.59800000
"WASP-141 b","WASP-141",2016,"Transit",13.56289000,854.96270000,"Mass",3.31065100000,1540.00,1061.5542,0.0469000000,5900.00,1.370000,1.250000,0.2900,5.0000,516.54300000
"WASP-142 b","WASP-142",2016,"Transit",17.14977000,266.97720000,"Mass",2.05286800000,2000.00,3140.9238,0.0347000000,6010.00,1.640000,1.330000,0.2600,2.0000,730.93300000
"WASP-144 b","WASP-144",2018,"Transit",9.52765000,139.84520000,"Mass",2.27831520000,1260.00,775.8849,0.0316000000,5200.00,0.810000,0.810000,0.1800,8.7100,355.51300000
"WASP-145 A b","WASP-145 A",2018,"Transit",10.08810000,282.86870000,"Mass",1.76903810000,1200.00,313.4012,0.0261000000,4900.00,0.680000,0.760000,-0.0400,6.9900,91.29900000
"WASP-147 b","WASP-147",2018,"Transit",12.49803500,87.40325000,"Mass",4.60273000000,1404.00,639.4923,0.0549000000,5702.00,1.429000,1.044000,0.0920,8.4700,436.09800000
"WASP-148 b","WASP-148",2020,"Transit",8.47398941,91.21675281,"Mass",8.80380900000,940.00,72.6990,0.0821500000,5555.00,0.912000,0.954000,0.0990,3.6000,246.35300000
"WASP-148 c","WASP-148",2020,"Radial Velocity",13.90000000,124.58873554,"Mass",34.52400000000,590.00,17.3770,0.2044000000,5555.00,0.912000,0.954000,0.0990,3.6000,246.35300000
